title,original_title,score,genre,date,synopsis,durée,pays_origine
The Family Man,,8.7,"Action,Comedy,Drama,Back to top",2019– ,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,India
Long Way Round,,8.6,"Documentary,Adventure,Back to top",2004–2010,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by...",315,United Kingdom
The Bureau,Original title: Le Bureau des Légendes,8.7,"Drama,Thriller,Back to top",2015– ,"After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria.",52,France
Homicide: Life on the Street,,8.7,"Crime,Drama,Mystery,Back to top",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,United States
El Chavo del Ocho,,8.7,"Comedy,Family,Back to top",1972–1983,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",30,Mexico
Battlestar Galactica,,8.5,"Action,Adventure,Drama,Back to top",2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",183,United States
Coupling,,8.6,"Comedy,Romance,Back to top",2000–2004,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,30,United Kingdom
The Venture Bros.,,8.6,"Animation,Action,Adventure,Back to top",2003–2018,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,United States
Spaced,,8.6,"Action,Comedy,Back to top",1999–2001,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,United Kingdom
Dragon Ball,,8.6,"Animation,Action,Adventure,Back to top",1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,Japan
Chainsaw Man,,8.8,"Animation,Action,Adventure,Back to top",2022– ,"Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.",25,Japan
Dragon Ball,Original title: Dragon Ball: Doragon bôru,8.6,"Animation,Action,Adventure,Back to top",1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",24,Japan
Flight of the Conchords,,8.6,"Comedy,Music,Musical,Back to top",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,"United States,New Zealand"
Justice League,,8.6,"Animation,Action,Adventure,Back to top",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,22,United States
Formula 1: Drive to Survive,,8.6,"Documentary,Sport,Back to top",2019– ,Docuseries following the FIA Formula One World Championship across multiple seasons.,40,United Kingdom
Impractical Jokers,,8.6,"Comedy,Reality-TV,Back to top",2011– ,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,United States
The Offer,,8.7,"Biography,Drama,Back to top",2022,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,586,United States
Crash Landing on You,Original title: Sa-rang-eui bul-sa-chak,8.7,"Adventure,Comedy,Romance,Back to top",2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,70,South Korea
The Queen's Gambit,,8.6,"Drama,Back to top",2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",60,United States
The Bugs Bunny Show,,8.6,"Animation,Comedy,Back to top",1960–1975,TV series featuring the classic Looney Tunes animated shorts.,30,United States
The Haunting of Hill House,,8.6,"Drama,Horror,Mystery,Back to top",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",572,United States
Pose,,8.6,"Drama,Back to top",2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",60,United States
The Newsroom,,8.6,"Drama,Back to top",2012–2014,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,United States
Boardwalk Empire,,8.6,"Crime,Drama,Back to top",2010–2014,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,United States
The Eric Andre Show,,8.6,"Comedy,Talk-Show,Back to top",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,United States
Making a Murderer,,8.6,"Documentary,Crime,Back to top",2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,United States
Justified,,8.6,"Action,Crime,Drama,Back to top",2010–2015,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,United States
Yes Minister,,8.7,"Comedy,Back to top",1980–1984,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",30,United Kingdom
Poirot,,8.6,"Crime,Drama,Mystery,Back to top",1989–2013,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",100,United Kingdom
Dopesick,,8.6,"Drama,Back to top",2021,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",492,United States
Mr. Bean,,8.6,"Comedy,Family,Back to top",1990–1995,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",25,United Kingdom
The Rehearsal,,8.6,"Documentary,Comedy,Back to top",2022– ,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,United States
